call_path,frequency,frequency_percentage,mean_duration,max_duration,p50_duration,p90_duration,p95_duration,p99_duration
[home-timeline-service] write_home_timeline_server->[home-timeline-service] write_home_timeline_redis_update_client,113,1.13,115.07964601769912,162.0,116.0,133.39999999999998,143.0,160.27999999999997
[home-timeline-service] write_home_timeline_server->[home-timeline-service] get_followers_client->[social-graph-service] get_followers_server->[social-graph-service] social_graph_redis_get_client,91,0.91,444.4065934065934,775.0,493.0,644.0,671.5,750.6999999999998
[home-timeline-service] write_home_timeline_server->[home-timeline-service] get_followers_client->[social-graph-service] get_followers_server->[social-graph-service] social_graph_mongo_find_client,91,0.91,1047.6703296703297,1358.0,1044.0,1251.0,1295.5,1318.3999999999996
[home-timeline-service] write_home_timeline_server->[home-timeline-service] get_followers_client->[social-graph-service] get_followers_server,91,0.91,1612.934065934066,2342.0,1608.0,2010.0,2075.0,2234.899999999999
[social-graph-service] get_followers_server->[social-graph-service] social_graph_redis_get_client,35,0.35000000000000003,507.54285714285714,686.0,513.0,637.2,655.9,678.8599999999999
[social-graph-service] get_followers_server->[social-graph-service] social_graph_mongo_find_client,35,0.35000000000000003,1087.3142857142857,1458.0,1086.0,1292.6000000000001,1404.6,1440.3199999999997
[social-graph-service] get_followers_server,35,0.35000000000000003,1722.057142857143,2335.0,1734.0,2062.0,2102.3999999999996,2264.959999999999
[text-service] compose_text_server->[text-service] compose_user_mentions_client,30,0.3,3105.0333333333333,3823.0,3048.0,3714.5,3768.55,3812.56
[text-service] compose_text_server->[text-service] compose_urls_client,30,0.3,1657.8333333333333,2138.0,1637.0,1939.3,1961.65,2087.25
[text-service] compose_text_server,30,0.3,3948.733333333333,4972.0,4053.0,4352.3,4529.949999999999,4878.910000000001
[user-timeline-service] write_user_timeline_redis_update_client,10,0.1,136.8,155.0,134.5,146.0,150.5,154.1
